Parking_schema:identifier,Parking_schema:name,ferme,mv:currentValue,dct:date
LPA0766,Parking LPA Saint Antoine,No,296,2023-01-15T22:04:01
LPA0702,Parking LPA Cordeliers,No,403,2023-01-15T22:04:01
LPA0703,Parking LPA Les Halles,No,373,2023-01-15T22:04:01
LPA0765,Parking LPA Saint Jean,No,85,2023-01-15T22:04:01
LPA0764,Parking LPA Hôtel de Ville,No,117,2023-01-15T22:04:01
LPA0724,Parking LPA Antonin Poncet,No,339,2023-01-15T22:04:01
LPA0729,Parking LPA Terreaux,No,154,2023-01-15T22:04:01
LPA0731,Parking LPA République,No,389,2023-01-15T22:04:01
LPA0732,Parking LPA Célestins,No,138,2023-01-15T22:04:01
LPA0737,Parking LPA Bonnel Servient,No,470,2023-01-15T22:04:01
LPA0738,Parking LPA Croix Rousse,No,42,2023-01-15T22:04:01
LPA0739,Parking LPA Gare Part-Dieu,No,1505,2023-01-15T22:04:01
LPA0740,Parking LPA Berthelot,No,51,2023-01-15T22:04:01
LPA0746,Parking LPA Saint Georges,No,251,2023-01-15T22:04:01
LPA0749,Parking LPA Cité Internationnale P0,No,755,2023-01-15T22:04:01
LPA0750,Parking LPA Aéroport Lyon Saint Exupéry P1 ,No,1560,2023-01-15T22:04:01
LPA0751,Parking LPA Fosse aux Ours,No,78,2023-01-15T22:04:01
LPA0752,Parking LPA Hôtel de Ville Villeurbanne,No,275,2023-01-15T22:04:01
LPA0754,Parking LPA Tony Garnier,No,229,2023-01-15T22:04:01
LPA0755,Parking LPA Gros Caillou,No,68,2023-01-15T22:04:01
LPA0756,Parking LPA Morand,No,172,2023-01-15T22:04:01
LPA0758,Parking LPA Cité Internationnale P2,No,953,2023-01-15T22:04:01
LPA0759,Parking LPA Grolée,No,180,2023-01-15T22:04:01
LPA0768,Parking LPA Marché Gare - La Confluence,No,659,2023-01-15T22:04:01
