nom;idparking;idparkingcriter;commune;insee;proprietaire;gestionnaire;idfournisseur;voieentree;voiesortie;avancement;annee;typeparking;situation;parkingtempsreel;gabarit;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture;observation;codetype;gid;lon;lat
Bourg;P899;;Lissieu;69117;COMMUNE;COMMUNE;;Rue des Sapins;Rue des Sapins;Existant;;Poche de stationnement;En surface;False;;21;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8259;4,74318306616529;45,8644936799456
Quincieux - Bottière;P9015;;Quincieux;69163;;;;RD 51;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Autohop;8;8521;4,77508300433119;45,9167766424995
Les Serres;P596;;Vénissieux;69259;GRAND LYON;GRAND LYON;;Avenue Marcel Paul;Avenue Marcel Paul;Existant;;Poche de stationnement;En surface;False;;15;0;0;0;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;6999;4,88130524991595;45,7003400163236
Place de l'Eglise;P381;;Saint-Romain-au-Mont-d'Or;69233;COMMUNE;COMMUNE;;Rue de la Charrière;Rue de la Charrière;Existant;1999;Poche de stationnement;En surface;False;;6;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;2242;4,82297698928087;45,837283363275
Place de Verdun;P429;;Genay;69278;GRAND LYON;GRAND LYON;;Place de Verdun;Place de Verdun;Existant;2005;Poche de stationnement;En surface;False;;16;0;5;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;4161;4,84141948372249;45,897847740835
Esplanade Itzhak Rabin;P526;;Meyzieu;69282;COMMUNE;COMMUNE;;Rue L. Buisson/Rue R. Fusier;Rue René Fusier;Existant;;Poche de stationnement;En surface;False;;81;0;5;0;3;Libre;Commerciale;Zone bleue;Ouvert 24h/24h;;5;6497;4,99739093673173;45,7652185930951
Fort du Paillet;P582;;Dardilly;69072;COMMUNE;COMMUNE;;Chemin du Fort;Chemin du Fort;Existant;;Poche de stationnement;En surface;False;;35;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;6970;4,74812740272385;45,8245229913067
Place Favard;P862;;Saint-Priest;69290;GRAND LYON;GRAND LYON;;Rue du Puit Vieux;Rue du Puit Vieux;Existant;;Poche de stationnement;En surface;False;;22;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8221;4,94457236946793;45,6974269950526
Château du Fort;P323;;Feyzin;69276;COMMUNE;COMMUNE;;Rue du Docteur Jean Long;Rue du Docteur Jean Long;Existant;;Poche de stationnement;En surface;False;;70;;;;;Libre;;Gratuit;Ouvert 24h/24h;;5;1083;4,860947718312;45,6732270710741
Garderie;P609;;Poleymieux-au-Mont-d'Or;69153;COMMUNE;COMMUNE;;Route de la Rivière;Route de la Rivière;Existant;2010;Poche de stationnement;En surface;False;;5;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h;;5;7020;4,80065605194839;45,8558508160995
Cimetière des Presles;P907;;Irigny;69100;COMMUNE;COMMUNE;;Chemin des Presles;Chemin des Presles;Existant;;Poche de stationnement;En surface;False;;62;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;8267;4,81520036496256;45,6813124559942
P+R Vaulx en Velin La Soie;P52;40;Vaulx-en-Velin;69256;SYTRAL;TCL;SOI;Rue Maurice Moissonnier;Rue Maurice Moissonnier;Existant;2006;P+R Sytral;En ouvrage (en élévation);True;;474;0;142;0;10;Libre;;Gratuit;Nuit;Métro A et T3 - Avec contrôle d'accès;3;754;4,92190702943209;45,760057001546
Rimaud;P319;;Écully;69081;GRAND LYON;GRAND LYON;;Chemin Louis Chirpaz;Chemin Louis Chirpaz;Existant;;Poche de stationnement;En surface;False;;15;;;;;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1079;4,77932888429201;45,7788891341549
Terme;P102;;Lyon 1er Arrondissement;69381;Particulier;Particulier;;Rue du Jardin des Plantes;Rue du Jardin des Plantes;Existant;;Parc privé (ou concédé non GL);En ouvrage (en élévation);False;;84;;;;;Réservé abonnés;Résidentielle;Payant;Ouvert 24h/24h;locatif;4;688;4,83075719593321;45,7696993424504
Nelson Mandela;P930;;Givors;69091;;;;Avenue Anatole France;Avenue Anatole France;Existant;;Aire de covoiturage;En surface;False;;45;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;6;8291;4,78829966114781;45,5771589839534
CC Givors 2 vallées;P153;;Givors;69091;PRIVE;PRIVE;;Rue de la Paix;Rue de la Paix;Existant;;Parc privé (ou concédé non GL);En surface;False;;2154;;;0;20;Libre;Commerciale;Gratuit;Ouvert 24h/24h;;4;8070;4,75027941009024;45,5843426989453
Place Saint Rambert;P757;;Lyon 9e Arrondissement;69389;GRAND LYON;GRAND LYON;;Grande Rue de Saint Rambert;Grande Rue de Saint Rambert;Existant;;Poche de stationnement;En surface;False;;15;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8079;4,83196958797628;45,7989140900928
Verdun;P105;;Lyon 2e Arrondissement;69382;SNCF;Particulier;;6 cours de Verdun;;Existant;;Parc privé (ou concédé non GL);;;;200;;;;;;;;;réservé;4;695;4,82320221269801;45,7500729155436
